ID,Title,Organisation ID,Organisation Name,Salary_Combined,Short description,Location,Remote work allowed,Benefits,Workplace type,Description,Seniority level,Under 10 applications,Job functions,Date posted,Date expires,Industry,Source domain,Easy apply,Job type,Industry,Link,Descrption(fivrr)
3515567756,Developer,b3JnOjI3MDgyNjE=,Abacus Service Corporation,,-,"Houston, TX",,,On-site,,,,,3/11/2023 5:05,4/11/2023 20:45,,www1.jobdiva.com,NO,,,https://www.linkedin.com/jobs/view/3515567756,"Description

Job Title: Data Science Developer

Onsite, 5 days a week

Join a software development team working in an Agile framework. Developing python-based large-scale optimization models and integrating them with automated data sets and user interfaces. Will need to be able to estimate effort to deliver features that meet Customer acceptance criteria. Work with Product Owners and Business Stakeholders to translate Customer needs into application features. Provide technical and operational support for applications built. Collaborate with data scientists, data engineers, and other developers in the organization.

Requirements

3-5 years' experience
Experience with: Mathematical optimization linear/nonlinear/ integer programming with working knowledge of Gurobi/ CPLEX, machine learning AI
Analytical abilities
Experience working on analytical projects

Preferred

Master's Degree in Engineer, Mathematics, Computer Science, Operations Research, Statistics (highly preferred)
Oil and gas experience Safety Certification and Training Requirements n/a Required PPE to be provided by Supplier/Contractor n/a Confirm the specific shift hours, if applicable. 40 hours per week Hours per Day 8 Hours per Week 40 Total Hours 3,152.00"
3548916648,Operations Research Systems Analysis / ORSA (2022-0200),b3JnOjExMzY1ODI=,Acclaim Technical Services,,-,"Annapolis Junction, MD",,,On-site,,,,,3/30/2023 17:42,4/11/2023 20:45,,acclaimtechnicalservices.applytojob.com,NO,,,https://www.linkedin.com/jobs/view/3548916648,"Description

Acclaim Technical Services, founded in 2000, is a leading language and intelligence services company supporting a wide range of U.S. Federal agencies. We are an Employee Stock Ownership Plan (ESOP) company, which is uncommon within our business sector. We see this as a significant strength, and it shows: ATS is consistently ranked as a top workplace among DC area firms and continues to grow.

We are actively hiring an ORSA (Operations Research Systems Analyst) with TS/SCI clearance and polygraph in our Enterprise Services & Solutions Division located in Annapolis Junction, MD. As an ORSA, your responsibilities will include the following:

Responsibilities

Work with other data scientists / research specialists on the metrics and assessments team to build dashboards within Power Bl. These tools are used to visually present counts, percentages, and other metrics to show the value and provide general metrics across the organization. These dashboards are presented to various levels of leadership to enable better business decisions and aid in determining effectiveness and performance at a near real-time basis. Work can consist of learning tools and Power Bl to create dashboards and documenting efforts. The team will provide the opportunity for limited development by building custom connectors, coded in Power Query M, that allows the team to call out to RESTFUL APls and extract data from tools and repositories.

Familiarity with Power Bl and Power Query M highly desirable but not required; general coding background/knowledge (ex. Python); understanding of API calls and reverse engineering using web dev tools would also be nice to have. Experience/ knowledge of basic visualizations (when to use bar chart vs a matrix, etc.); Experience writing custom connectors; Familiarity working with DAX in either Power Bl or Excel; Good understanding of the organization’s resources and tools.

Required Education & Experience

Must possess an active TS/SCI clearance with polygraph
Shall have a minimum of six recent years of work experience in operations research systems analysis or a related field, or a combination of a minimum of three (3) recent years of work experience and a Bachelor’s degree in an applicable (for example, math, science, computers, engineering) field.
Work experience shall include three (3) years of Intelligence Community or comparable experience in operations research systems analysis or a related field.

Equal Employment Opportunity / Affirmative Action

ATS is committed to a program of equal employment opportunity without regard to race, color, ethnicity, national origin, ancestry, citizenship, sex, pregnancy, marital status, sexual orientation, gender identity, age, religion/creed, hairstyles and hair textures, handicap/disability, genetic information/history, military/veteran status, or any other characteristic or condition protected by federal, state or local law. It is the policy of ATS not merely to refrain from employment discrimination as required by the various federal, state, and local enactments, but to take positive affirmative action to realize for women, people of color, individuals with disabilities and protected veterans full equal employment opportunity. We support the employment and advancement in employment of individuals with disabilities and of protected veterans, and we treat qualified individuals without discrimination on the basis of their physical or mental disability or veteran status.
"
3556473945,"Data/Statistical Analyst - Carbohydrates - Decatur, IL",b3JnOjQ0OTE1,ADM,,-,"Decatur, IL",,,On-site,,,,,4/6/2023 16:47,4/11/2023 20:44,,sjobs.brassring.com,NO,,,https://www.linkedin.com/jobs/view/3556473945,"About the job
Data/Statistical Analyst , Carbohydrates – Decatur, IL

10% domestic travel may be needed

Position Summary
Designs and builds business analytics tools covering optimization, logistics, production, and contracting for the Carbohydrates group.
Primary duties include enhancing usability, functionality, and visibility of front-end applications that interface with the division’s analytical SQL database under guidance of current team members.
Current front-end systems used include FICO, Tableau, Microsoft PowerBI, and ASP.Net based web pages.
Attention to accuracy and verification of results will be essential for successful analysis.
Will be to develop linear optimizations using advanced mathematical relationships and constraints, in the Mosel programming language.
Work may also include developing scenarios, setting up and cleaning data to support analysis, and programming logic for optimizations.
Experience working with well-normalized databases in SQL Server is also a plus (with the help of pre-existing Entity-Relationship diagrams).
The successful candidate must have a high attention to detail and be willing to work closely with current analytics team members and business users.
The successful candidate will also have a willingness to learn and have the ability to develop within ambiguous project requirements. Some after hours and weekend work may be needed to ensure critical systems’ uptime.
Education and experience requirements:
Bachelor’s degree, or foreign equivalent in Computer Science, Engineering, Information Systems, Mathematics, or related technical field with 1 to 3 years of experience.
Experience with some of the following technologies: FICO, IBM CPLEX, Gurobi, Mosel, Python, C#, .Net, SQL Server, JavaScript
ADM is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability and veteran status.

This position offers a complete benefit package, including 401K/ESOP, pension, health, life and dental insurance.

ADM requires the successful completion of a pre-employment drug screen and a background check.?

About ADM

At ADM, we unlock the power of nature to provide access to nutrition worldwide. With industry-advancing innovations, a complete portfolio of ingredients and solutions to meet any taste, and a commitment to sustainability, we give customers an edge in solving the nutritional challenges of today and tomorrow. We’re a global leader in human and animal nutrition and the world’s premier agricultural origination and processing company. Our breadth, depth, insights, facilities and logistical expertise give us unparalleled capabilities to meet needs for food, beverages, health and wellness, and more. From the seed of the idea to the outcome of the solution, we enrich the quality of life the world over. Learn more at www.adm.com.

EEO

ADM is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability and veterans status.
"
3524205088,Data Scientist,b3JnOjk0NDYyMTM=,Advanced Tech Placement,,-,"Alpharetta, GA",,,Hybrid,,,,,2/19/2023 18:16,4/11/2023 20:45,,www1.jobdiva.com,NO,,,https://www.linkedin.com/jobs/view/3524205088,"About the job

We are hiring an experienced Data Scientist for the Implementation Automation Center of Excellence. Candidate should have relevant professional experience with document classification, entity recognition, and optical character recognition (OCR).

Required/Desired Skills:


Minimum 2 years of related experience
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, Deep learning social network analysis, etc.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Knowledge of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. etcScikit-learn, TensorFlowExperience querying databases and using statistical computer languages: SQL, R, Python,
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Tableau, ggplot, etc.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Master's or PHD in Statistics, Mathematics, Computer Science, predictive analytics or another quantitative field plus
"
3436486683,"Head of Engineering, Constraint Programming",b3JnOjI0OTc4Nw==,Alldus,,-,"Menlo Park, CA",,,On-site,,,,,12/18/2022 16:27,4/11/2023 20:45,,alldus.com,NO,,,https://www.linkedin.com/jobs/view/3436486683,"About the job 
Our client has created a platform that leverages Artificial Intelligence to assist workers in reducing risk and planning, bidding, and building more efficiently. This is an exciting opportunity to work on a greenfield project building a truly innovative and category-defining artificial intelligence product in one of the world’s largest and most important industries. 

Location: Flexible – Prague, San Francisco, Remote 

Day-to-Day 

This high-profile role will work closely with key stakeholders and c-suite to have an outsized impact on our product. Some of the work you’ll be doing includes: 
Working with our current Constraint Propagation Problem solver: 1) Optimizing and extending existing constraint implementations; and 2) Designing and introducing new constraints 
Research and prototyping of our next generation of CSP solver 
Designing, prototyping, and testing of the combinatorial optimization algorithms and participating in turning them into production software in cooperation with the rest of the Engineering team 
Leading a team of engineers 

Requirements 

MS+ degree in Computer Science or equivalent 
Deep knowledge of combinatorial optimization algorithms 
Practical experience with constraint programming/constraint planning 
Proficiency in at least one of the following: Python, C/C++, Java/Scala/Kotlin 
Experience working with IBM ILOG CPLEX or Google OR-Tools 
Practical knowledge of software industry standards (version control, TDD, SQL/NoSQL databases) 

30390"
3554797199,Optimization Engineer,b3JnOjE4NDEwNA==,Allegis Group,,-,"Santa Clara, CA",,,Hybrid,,,,,4/5/2023 2:37,4/11/2023 20:44,,jsv3.recruitics.com,NO,,,https://www.linkedin.com/jobs/view/3554797199,"About the job 
Must Haves 

Hands on experience with Gurobi/ Cplex or other optimization engines 

2 to 3 years of Optimization experience 

Self- motivated and self- starter 

Description 

We seek an experienced Optimization Engineer with expertise in Gurobi, CPLEX, or other optimization engines to join our team. The ideal candidate will have a background in data science and a proven track record of formulating and coding, scheduling, assignments, and other optimization problems. 

Responsibilities 
Formulate, develop, and implement optimization models using Gurobi, CPLEX, or other optimization engines for various problem domains. 
Design and develop algorithms for complex optimization problems, including resource allocation, scheduling, routing, and network design. 
Collaborate with cross-functional teams to identify optimization opportunities in various industries, such as manufacturing, logistics, and supply chain. 
Extract, clean, and analyze large datasets to support optimization model development. 
Validate optimization models and solutions using historical data, simulation, or heuristic methods. 
Prepare clear and concise documentation of model development, solution approaches, and results. 
Stay current on the latest trends and developments in optimization and data science, and proactively identify opportunities for continuous improvement. 
Present optimization solutions and recommendations to both technical and non-technical stakeholders. 

Qualifications 
Bachelor's or Master's degree in Operations Research, Industrial Engineering, Applied Mathematics, Computer Science, or a related field. 
At least 3 years of experience in optimization modeling and algorithm development using Gurobi, CPLEX, or other optimization engines. 
Strong knowledge of linear programming, integer programming, and mixed-integer programming. 
Proficient in one or more programming languages (Python – must, C++, Java, R, or similar). 
Experience with data manipulation and analysis tools, such as SQL, Pandas, or R. 
Strong problem-solving and analytical skills, with the ability to develop creative and efficient solutions to complex problems. 
Excellent communication and interpersonal skills, with the ability to effectively collaborate with cross-functional teams. 
Experience applying optimization techniques in manufacturing, logistics, or supply chain settings. 

Skills 

Gurobi, CPLEX, Python, Java, C++, R, SQL, pandas 

Top Skills Details 

Gurobi,CPLEX,Python 

Experience Level 

Intermediate Level 

FAQ California Assembly Bill 701 – Warehouse Distribution Centers 

What is California Assembly Bill 701 - Warehouse Distribution Centers? 

CA Assembly Bill 701 mandates new protections for workers in Warehouse and Distribution Centers. The 

bill aims to reduce injuries and improve workplace safety. 

What are employers required to do to comply with CA AB 701? 

Employers are required to obtain performance related quotas and disseminate those quotas to 

employees, which includes the quantified number of tasks or materials to be produced or handled, 

within the defined time period, and any potential adverse employment action that could result from 

failure to meet the quota. 

What Is a “Quota” Under AB 701? 

A “quota” under AB 701 is defined as the work standard under which an employee is assigned or 

required to perform at a specified productivity speed, or perform a quantified number of tasks, or to 

handle or produce a quantified amount of material, within a defined time period, and under which 

the employee may suffer an adverse employment action if they fail to complete the performance 

standard. 

What do Sales Teams who support Clients in CA Warehouse and Distribution environments need to 

do? 
A client letter will be provided to active Warehouse & Distribution Center clients by 

Marketing Communications 
Sales teams should obtain Performance Quotas for all employees at the client 

worksite (where quotas are required) 
Clients must complete the Performance Quota form for each position/requisition for 

all levels of that position. 
All quotas obtained from the client must be attached to the CRG 
Quota information should be stored in the Performance Expectations field of the Connected 

job req 
Copy and paste Performance Quota template into ‘Performance Expectations’ field 

and fill in applicable details 
If you are limited by characters in the ‘Performance Expectations’ field, please enter 

remaining quota details into the ‘Additional Information’ field 
When submitting an ESF for a contractor with a Performance Quota, please note ‘CA 

Warehouse Information Required’ 
Quotas must be obtained for all active employees for clients that require them, who work 

in a warehouse or distribution center environment, as early in the req-qualifying process as 

possible * 

About TEKsystems 

We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company. 

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law. 
"
3559643924,Innovations Developer | Research Support | Assessment Organization,b3JnOjEwOTU2NjI=,American Board of Internal Medicine,,-,"Philadelphia, PA",,,Hybrid,,,,,4/10/2023 14:30,4/11/2023 20:44,,,NO,,,https://www.linkedin.com/jobs/view/3559643924,"About the job 
The American Board of Internal Medicine (ABIM) is currently seeking an Innovations Developer to join our Research and Innovations team. In this role, the Innovations Developer will develop innovative tools, applications, software, and statistical analysis programs to support exam innovations and operations. 


This position is within the Research and Innovations department at ABIM. Reporting to the Manager, Exam Innovations, the Innovations Developer has the following primary responsibilities: 

Work with operational staff and IT to develop, enhance, and maintain systems applications within the context of a testing organization (e.g., systems for assembling and scoring tests). 
Develop, enhance, and maintain C# code to support Automatic Test Assembly (ATA) and item writing assignments. 
Utilize optimization tools and mixed-integer linear programming (MILP) applications (e.g., CPLEX) to support Automatic Test Assembly (ATA) and item writing assignments. 
Develop applications to support the prototyping of exam innovations for research and evaluation. 
Work with IT, vendors, and operational staff to migrate exam innovations from prototype into operational assessments. 
Communicate and collaborate effectively with operational, test development, IT, and research staff. 

The ideal candidate has at least a bachelor’s degree in computer science, mathematics, operations research, or measurement; a master’s degree is a plus. Related degrees such as statistics will be considered. Experience working in the assessment industry is highly preferred. Demonstrated expertise with at least one general-purpose programing language; C# is a plus, but not required. Someone who has the ability to quickly learn new skills and meet deadlines will thrive in this role. 


Someone who enjoys problem solving will thrive in this role. Experience with mixed-integer linear programming software (CPLEX or something similar), and an understanding of basic measurement/psychometrics concepts (e.g., reliability, validity, item analysis) is highly desired, but not a requirement. SAS software programming and an understanding of relational databases and SQL is highly desired but not a requirement. 


Please note: ABIM requires all employees to be fully vaccinated for COVID-19, regardless of their work location. Newly hired colleagues are required to provide proof of their vaccination upon hire. 


* * * 

At the American Board of Internal Medicine (ABIM), our team of unique and talented professionals, and the inspiring work they do, are essential to meeting the needs and expectations of ABIM’s diverse community of physicians. 


ABIM is like no other workplace, and we are proud of it. We are committed to recognizing the importance of our people by investing in their lives through ongoing learning opportunities and exceptional total compensation & benefit offerings. 


We look forward to learning more about your interest in joining our team. Apply online, or email your CV to careers@abim.org. EOE 
"
3512332321,Data analytics engineer,b3JnOjc1MzIyNQ==,"American Honda Motor Company, Inc.",,-,"Marysville, OH",,,On-site,,,,,2/7/2023 14:32,4/11/2023 20:44,,hondana.taleo.net,NO,,,https://www.linkedin.com/jobs/view/3512332321,"Description 

Data Analytics Engineer 

Location: Marysville, OH / ADC 

What Makes a Honda, Is Who Makes a Honda 

Honda has a clear vision for the future, and it’s a joyful one. We are looking for individuals with the skills, courage, persistence, and dreams that will help us reach our future-focused goals. 

At our core is innovation. Honda is constantly innovating and developing solutions to drive our business with record success. We strive to be a company which serves as a source of “power” that supports people around the world who are trying to do things based on their own initiative and that helps people expand their own potential. To this end, Honda strives to realize “the joy and freedom of mobility” by developing new technologies and an innovative approach to achieve a “zero environmental footprint.” 

We are looking for qualified individuals with diverse backgrounds, experiences, continuous improvement values, and a strong work ethic to join our team. 

If your goals and values align with Honda’s, we want you to join our team to Bring the Future! 

About This Position 

This role revolves around identifying, planning, and implementing system improvements and applying analytics from proof-of-concept to production. The Data Analytics Engineer generates new ideas to derive value from data and assists in project scoping, design, data analysis, and execution. 

Responsibilities Include 
Translating business inquiries and challenges into data-driven solutions with the support of data engineers, scientists, and IT (defining scope & requirements) 
Building and implementing models and dashboards for use by all levels of the organization 
Developing processes and tools to monitor and analyze model performance and data 
accuracy 
Presenting results to senior management as required. 
Identifying business challenges and translate into SMART requirements for AGILE development 
Launching projects consistently in an AGILE methodology and report benefits 
Mentoring associates in analytics tools and projects 
Who We Are Seeking 

Required Work Experience: 
2 - 6 years of experience based upon education (2 years analytics/project lead experience) 
Required Education 
Bachelors’ degree in Engineering, Data Analytics, Data Science, MIS, Computer Science; or equivalent relevant experience. 
Desired Skills 
Experience with open-source data analytics in Python and/or R (data mining, data modelling, machine learning) and data visualization tools (Tableau, Power BI, Plotly, etc). 
Comprehension of inferential statistics, machine learning, and applied data analytics. 
Linear programming for optimization. 

Additional Position Factors 
Workstyle: Office/ Fast-pace Manufacturing environment 
Travel: 15% 
At Honda, you will play a key role in our journey to become a company that society wants to exist now, and in the future. Your endless curiosity will drive innovation and your courageous spirit will challenge the status quo. We believe having a workforce made up of diverse thinkers and innovators makes us a better Honda. Respect for each other and respect for diversity each and every day drives our associates to contribute at the highest level and work effectively in a team environment. We make the dream of mobility a reality with our innovative and high-quality products. Together, we Bring the Future to our customers, associates, and communities. We are Honda! 

What differentiates Honda and make us an employer of choice? 

Total Rewards 
Competitive base salary 
Annual Bonus 
Overtime Pay 
Industry leading Benefit Plans (Medical, Dental, Vision) 
Paid time off, including vacation, paid holidays, sick time, personal days 
401K Plan with company match + additional contribution 
Relocation assistance (if eligible) 
Career Growth 
Advancement opportunities 
Career mobility 
Education reimbursement for continued learning 
Training and Development programs 
Additional Offerings 
Wellbeing program 
Community service and engagement programs 
Product programs 
Free drinks onsite 
Honda is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, creed, religion, national origin, sex, sexual orientation, gender identity and expression, age, disability, veteran status, or any other protected factor. 

Honda Development and Manufacturing of America, LLC."
3548462904,Sr Mgr Ops Research - 90211344 - Washington,b3JnOjI1NDE4,Amtrak,,-,"Washington, DC",,,On-site,,,,,4/3/2023 20:16,4/11/2023 20:44,,careers.amtrak.com,NO,,,https://www.linkedin.com/jobs/view/3548462904,"About the job 
Your success is a train ride away! 

As we move America’s workforce toward the future, Amtrak connects businesses and communities across the country. We employ more than 20,000 diverse, energetic professionals in a variety of career fields throughout the United States. The safety of our passengers, our employees, the public and our operating environment is our priority, and the success of our railroad is due to our employees. 

Are you ready to join our team? 

Our values of ‘Do the Right Thing, Excel Together and Put Customers First’ are at the heart of what matters most to us, and our Core Capabilities, ‘Building Trust, Accountability, Effective Communication, Customer Focus, and Proactive Safety & Security’ are what every employee needs to know and do to be most impactful at Amtrak. By living the Amtrak values, focusing on our capabilities, and actively embracing and fostering diverse ideas, backgrounds, and perspectives, together we will honor our past and make Amtrak a company of the future. 

Summary Of Duties 

The Operations Research (OR) Group at Amtrak provides advanced analytics, business optimization and consulting services to various internal business lines with the goal of achieving cost savings, revenue enhancements and/or business process improvement. Positioned within the Service Delivery and Operations organization, this department functions as an internal consulting group providing analytical and decision support services to management and decision makers at different levels and is responsible for demonstrating Amtrak’s values, core competencies and leadership philosophy while providing customers with excellent service and meeting performance targets that are driven by and aligned with the Strategic Plan goals in the following aspects: Safety and Security, Customer Focus, and Financial Excellence. 

The OR staff maintain matrix management relationships with other functional and technical groups within the company to ensure compliance with standards and policies established by Amtrak and regulatory authorities. Such matrix relationships include but are not limited to teams responsible for fleet performance, crew management, equipment planning, marketing and sales, revenue management, human capital, finance, technology, and more. 

Essential Functions 
Initiates, develops, and maintains the data analysis, simulation, and optimization toolbox for Operational Excellence initiatives. 
Interfaces and collaborates with other internal teams and business leaders to understand the business and technology/data aspects to identify appropriate opportunities and initiate new projects for business improvement using analytics. 
Utilizes analytical techniques including but not limited to mathematical optimization, simulation, data mining, forecasting, stochastic modeling, and others as appropriate for the situation. 
Performs all-spectrum data analysis and modeling of business situations, works with business partners and end-users to validate and improve results, and clearly communicates and coordinates the efforts with management and stakeholders. 
Keeps current with research, technology, and industry trend. Actively involved in the industry and brings/applies innovative and suitable solutions to Amtrak. 
Leads several simultaneous analytics and optimization initiatives in cross-functional settings. 
Trains and positively influences others including senior management within Amtrak on analytics tools and techniques. 
The OR Senior Manager may assume supervisory responsibilities for a team of analysts or managers to oversee projects and talent development, and also work hands-on, managing projects in a matrix organizational structure to support the business and departmental goals. 
Minimum Qualifications 
MS in Industrial and Systems Engineering, Transportation Systems, Management Science, Data Science, or related field 
9 (Nine) plus years of relevant work experience. 
Ability to independently identify analytics opportunities by matching latent business problems with the appropriate analytics methodologies, tools, and workflows, considering time, cost, and other relevant business considerations. 
Ability to convey complex quantitative notions to non-experts and ability to distill crisp models and constraints from ambiguous or conflicting business narratives. 
Ability to concurrently execute and/or manage end-to-end analytics projects, from initial stakeholder engagement to after action review, in a cross functional setting, with demonstrated ability to lead and influence project members that may not directly have a reporting relationship. Ability to effectively lead through complex projects. 
5 (Five) years of demonstrated experience in formulating mathematical (integer, linear, non-linear and stochastic programing) and heuristic/meta-heuristic optimization models. 
Experience conceptualizing, designing, implementing, verifying, validating and solving models using OR tools (e.g. CPLEX, GUROBI, XPRESS, AMPL, Mosel) 
Statistical fluency and experience performing advanced analytics workflows in languages such as R, Python, SAS or MATLAB, from data wrangling to dashboarding (Tableau, Alteryx, R-Shiny, Plotly), as well as good knowledge of relational databases (SQL) 
Proficiency in at least one high-level object-oriented programing language (Java, C++, Python, Julia, Scala, etc.) 
Awareness of digital transformation trends and technologies, including AI, Machine Learning, IoT, etc. 
Effective interpersonal communication skills including writing, presentation, meeting, and interview facilitation. 
Demonstrated experience in successfully collaborating with a cross-section of departments and customers. 
Ability to effectively facilitate change including development of innovative approaches designed to improve bottom line. 
Any suitable combination of education, training and experience is acceptable. 
Preferred Qualifications 
PhD in Industrial and Systems Engineering, Transportation Systems, Management Science, Data Science, or related field. 
Prefers experience in railroads, airlines or the general transportation/travel industry. 
3 (Three) plus years of experience designing, implementing, and exploiting discrete event and/or agent-based simulation models with tools such as ARENA, ANYLOGIC, SIMIO, MESA, FLEXIM, etc. 
Work Environment 
Posting Location(s): District of Columbia, Headquarters Office 
Relocation Offered: Yes 
Travel Requirements: Up to 25% 
Communications And Interpersonal Skills 
Must have excellent oral and written communication skills. 
The salary/hourly range is $128,660 - $166,750, Pay is based on several factors including but not limited to education, work experience, certifications, internal equity, etc. Depending on an employee’s assigned worksite or location, Amtrak may consider a geo-pay differential to be applied to the employee’s base salary. Amtrak may offer additional incentive and pay programs to recognize and reward our employees, including a short-term incentive bonus based upon factors such as individual and company performance that is commensurate with the level of the position and/or long-term incentive plan compensation. In addition to your salary, Amtrak offers a comprehensive benefit package that includes health, dental, and vision plans; health savings accounts; wellness programs; flexible spending accounts; 401K retirement plan with employer match; life insurance; short and long term disability insurance; paid time off; back-up care; adoption assistance; surrogacy assistance; reimbursement of education expenses; Public Service Loan Forgiveness eligibility; Railroad Retirement sickness and retirement benefits; and rail pass privileges. Learn more about our benefits offerings here . 

Requisition ID: 158100 

Posting Location(s): District of Columbia 

Job Family/Function: Research & Strategy; Transportation 

Relocation Offered: Yes 

Travel Requirements: Up to 25% 

Amtrak employees power our progress through their performance. 

We want your work at Amtrak to be more than a job – we want it to be a fulfilling experience where you find challenging and rewarding opportunities, respect among colleagues, competitive pay, benefits that protect you and your family and a high performance culture that recognizes and values your contributions and helps you reach your career goals. 

All positions require pre-employment background check verification, a pre-employment drug screen and proof of full vaccination against COVID -19. Amtrak is committed to a safe workplace free of drugs and alcohol and performs pre-employment substance abuse testing. Marijuana, notwithstanding any statute, ordinance, regulation, or other law that legalizes or decriminalizes the use or possession of marijuana, whether for medical, recreational, or other use. Candidates who engage in the usage of marijuana will not be qualified for hire. Successful applicants for employment with Amtrak must be fully vaccinated against COVID-19 by the date of hire as a condition of employment, subject to requests for accommodation. Fully vaccinated means 14 days have elapsed since receiving the second dose of the Pfizer or Moderna vaccine or 14 days since receiving the Johnson & Johnson vaccine. 

In accordance with DOT regulations (49 CFR 
40.25), Amtrak is required to obtain prior drug and alcohol testing records for applicants/employees intending to perform safety-sensitive duties for covered Department of Transportation positions. If an applicant/employee refuses to provide written consent for Amtrak to obtain these records, the individual will not be permitted to perform safety-sensitive functions. 
In accordance with federal law governing security checks of covered individuals for public transportation ( Title 6 U.S.C. 
1143), Amtrak is required to screen applicants for any permanent or interim disqualifying criminal offenses. 
Note that any education requirement listed above may be deemed satisfied if you have an equivalent combination of education, training and experience. 

Amtrak is an EOE/Affirmative Action Minority/Female employer, and we welcome all to apply. We consider candidates regardless of race/color, religion, sex (including pregnancy, childbirth and related conditions), national origin/ethnicity, age, disability (intellectual, mental and physical), veteran status, marital status, ancestry, sexual orientation, gender identity and gender expression, genetic information, citizenship or any other personal characteristics protected by law. 

POSTING NOTES: Research & Strategy; Transportation || Railroad Operations; Corporate Jobs"
3508862250,Planning Engineer,b3JnOjMzOTAyOA==,Andeavor,,-,"Jamestown, NM",,,On-site,,,,,2/9/2023 20:08,4/11/2023 20:45,,careers.andeavor.com,NO,,,https://www.linkedin.com/jobs/view/3508862250,"About the job 
Summary 

Coordinates forward refinery planning activities and ensures consistent plan development. Responsible for the first month of the rolling 90-day plan (Monthly Operating Plan) using the refinery linear program (LP) and facilities the weekly Refinery economics meeting(s). Communicates the economic environment and key commercial issues to key stakeholders. 

Job Responsibilities 

Collaborates with Maintenance and Operations to develop and maintain 90-day maintenance plans and operating constraints for the refinery linear programming (LP). Modifies plans as needed to adjust to demand/margin changes and maximize refineries' profit. Conducts meetings with refinery leadership to get buy-in and communicate plans. 
Assists Commercial personnel in the evaluation of the Gallup refinery's crude, intermediate, and blendstock purchases and the refinery's operations and technical organizations in optimizing the Gallup refinery product mix. 
Develops and submits monthly ""Charge & Yield"" (C&Y) report and distributes to key stakeholders. Updates and reconciles the C&Y on a weekly basis. 
Develops break-evens for intermediates and gasoline or diesel components and distributes breakeven information to Supply Coordinator and Planners. 
Develops incremental unit margin analysis and communicates optimization incentive or lost opportunity cost for refinery units through weekly economics process. 
Identifies short term/strategic opportunities for the Gallup refinery and facilitate their development and implementation. 
Manage some feedstock, products, and intermediate inventories for short and intermediate optimization and reporting. 
Evaluates historic Gallup refinery performance and deviations from plan to identify potential opportunities, lost profit opportunities, and create organizational awareness. 
Evaluate and provide economic justification for capital projects at the Gallup Refinery. 
Responsible for the development of the annual LRP barrel balance and other optimization tasks of the budget. 
Perform other related or backfill duties of the site optimization team as assigned or requested. 

Location: 

San Antonio, Texas,,New Mexico,87347,United States"
